stock_code,corp_name,induty_code,wave_group,wave_group_final,report_ok,kw_CBAM,kw_배터리여권,kw_기어박스,kw_휠,kw_현가장치,kw_라디에이터,kw_유럽
043150,(주)바텍,271,2차 후보(확인 필요),2차 후보(확인 필요),True,0,0,0,0,0,0,20
041830,(주)인바디,27199,2차 후보(확인 필요),2차 후보(확인 필요),True,0,0,0,0,0,0,31
234080,제이더블유생명과학(주),212,비대상,비대상,True,0,0,0,0,0,0,4
029530,(주)신도리코,263,비대상,비대상,True,0,0,0,0,0,0,1
017180,명문제약(주),212,비대상,비대상,True,0,0,0,0,0,0,0
004650,(주)창해에탄올,11121,비대상,비대상,True,0,0,0,0,0,0,0
271980,제일약품(주),212,비대상,비대상,True,0,0,0,0,0,0,2
043260,성호전자(주),26291,비대상,비대상,True,0,0,0,0,0,0,0
019770,(주)서연탑메탈,292,2차 후보(확인 필요),2차 후보(확인 필요),True,0,0,0,0,0,0,2
100130,(주)동국에스엔씨,2511,1차(2027),1차(2027),True,0,0,0,0,0,0,15
089010,(주)켐트로닉스,204,비대상,비대상,True,0,0,0,0,0,0,7
243070,(주)휴온스,212,비대상,비대상,True,0,0,0,0,0,0,2
112610,씨에스윈드(주),2511,1차(2027),1차(2027),True,0,0,0,1,0,0,40
038500,(주)삼표시멘트,239,1차(2027),1차(2027),True,0,0,0,0,0,0,0
086900,(주)메디톡스,211,비대상,비대상,True,0,0,0,0,0,0,13
012200,계양전기(주),291,2차 후보(확인 필요),2차 후보(확인 필요),True,0,0,0,0,0,0,10
012620,(주)원일특강,24123,1차(2027),1차(2027),True,0,0,0,0,0,0,0
126700,(주)하이비젼시스템,273,비대상,비대상,True,0,0,0,0,0,0,0
104460,디와이피엔에프(주),29163,2차(2028),2차(2028),True,0,0,0,0,0,0,2
101970,우양에이치씨(주),2512,2차 후보(확인 필요),2차 후보(확인 필요),True,0,0,0,0,0,0,4
042700,한미반도체(주),29271,비대상,비대상,True,0,0,0,0,0,0,14
005160,동국산업(주),24122,1차(2027),1차(2027),True,0,0,0,0,0,0,7
007690,국도화학(주),20111,비대상,비대상,True,0,0,0,0,0,0,15
003220,대원제약(주),212,비대상,비대상,True,0,0,0,0,0,0,10
222800,(주)심텍,2622,비대상,비대상,True,0,0,0,0,0,0,0
462520,조선내화 주식회사,2321,비대상,비대상,True,0,0,0,0,0,0,2
277880,주식회사 티에스아이,292,2차 후보(확인 필요),2차 후보(확인 필요),True,0,0,0,0,0,0,22
166090,하나머티리얼즈(주),2612,비대상,비대상,True,0,0,0,1,0,0,0
412540,(주)제일엠앤에스,292,2차 후보(확인 필요),2차 후보(확인 필요),True,0,0,2,0,0,0,9
003090,(주)대웅,212,비대상,비대상,True,0,0,0,0,0,0,24
063160,(주)종근당바이오,212,비대상,비대상,True,0,0,0,0,0,0,24
069620,(주)대웅제약,212,비대상,비대상,True,0,0,0,0,0,0,22
