stock_code,corp_name,size_class,is_holding,wave_group_reviewed,induty_code,kisa_name,kisa_type_used,it_year,it_spend,rev_same_year,it_ratio,rev_band
188260,(주)세니젠,중소,False,비대상,339,,,,,,,
088280,(주)쏘닉스,중소,False,비대상,26129,,,,,,,
010950,S-Oil(주),대기업,False,비대상,19210,,,,,,,
010100,한국무브넥스(주),중견,False,2차 후보(확인 필요),303,한국무브넥스 (주),의무,2025,1893848484.0,932889057319.0,0.0020300897187524856,5천억~1조
271830,팸텍주식회사,중소,False,비대상,29271,,,,,,,
005950,(주)이수화학                             ,중견,False,비대상,20111,(주)이수화학,의무,2025,4975505790.0,1377711851000.0,0.003611427009493003,1조~5조
010240,(주)흥국,중소,False,2차(2028),29241,,,,,,,
007340,(주)디엔오토모티브,중견,False,비대상,28202,주식회사 디엔오토모티브,의무,2025,5157899844.0,986279635000.0,0.00522965258630733,5천억~1조
054090,(주)삼진엘앤디,중소,False,비대상,339,,,,,,,
020400,대동금속(주),중소,False,2차(2028),24312,,,,,,,
260930,(주)씨티케이,중소,False,비대상,20423,,,,,,,
033160,엠케이전자(주),중견,False,비대상,262,엠케이전자㈜,의무,2025,679865880.0,795409862755.0,0.0008547365475771206,5천억~1조
079950,인베니아(주),중소,False,비대상,29272,,,,,,,
263020,(주)디케이앤디,중소,False,비대상,22214,,,,,,,
069140,(주)누리플랜,중소,False,1차(2027),25112,,,,,,,
073110,(주)엘엠에스,중소,False,비대상,262,,,,,,,
093640,(주)케이알엠,중소,False,비대상,2611,,,,,,,
009770,삼정펄프(주),중소,False,비대상,171,,,,,,,
348210,주식회사 넥스틴,중소,False,비대상,29271,,,,,,,
340440,(주)세림비앤지,중소,False,비대상,222,,,,,,,
432470,(주)케이엔에스,중소,False,비대상,29299,,,,,,,
090430,(주)아모레퍼시픽,중견,False,비대상,20423,(주)아모레퍼시픽,의무,2025,138912137818.0,2653725793231.0,0.052346078171426225,1조~5조
020150,롯데에너지머티리얼즈(주),대기업,False,비대상,2629,,,,,,,
025900,동화기업(주),중견,False,비대상,16212,동화기업(주),의무,2025,11646717978.0,369049244539.0,0.031558709712435705,3천억~5천억
077970,STX엔진(주),중견,False,2차 후보(확인 필요),29111,STX엔진,의무,2025,6146312121.0,744818465645.0,0.008252094173950694,5천억~1조
056700,신화인터텍(주),대기업,False,비대상,2229,,,,,,,
101240,씨큐브(주),중소,False,비대상,20131,,,,,,,
017510,세명전기공업(주),중소,False,2차 후보(확인 필요),2599,,,,,,,
012860,(주)모베이스전자,중견,False,2차 후보(확인 필요),303,(주)모베이스전자,의무,2025,28044830563.0,806880613520.0,0.03475710048436411,5천억~1조
452160,(주)제이엔비,중소,False,비대상,29271,,,,,,,
089890,(주)코세스,중소,False,비대상,29271,,,,,,,
033250,(주)체시스,중소,False,2차 후보(확인 필요),303,,,,,,,
264450,(주)유비쿼스,중견,False,비대상,26410,,,,,,,
134380,미원화학(주),중견,False,비대상,20421,,,,,,,
418420,주식회사 라온텍,중소,False,비대상,262,,,,,,,
078890,가온그룹(주),중견,False,비대상,264,가온그룹(주),의무,2025,20063112997.0,305965376673.0,0.065573148227299,3천억~5천억
112290,와이씨켐(주),중소,False,비대상,20491,,,,,,,
