corp_code,corp_name,stock_code,corp_cls,induty_code,jurir_no,bizr_no,est_dt,acc_mt,adres,bsns_year,rcept_no,cfs_rev_t,cfs_rev_t1,cfs_rev_t2,cfs_assets_t,cfs_rev_3y_avg,ofs_rev_t,ofs_rev_t1,ofs_rev_t2,ofs_assets_t,ofs_rev_3y_avg,rev_source
00537337,(주)앤씨앤,092600,K,2611,1101111413361,2138631520,19970513,12,경기도 성남시 분당구 대왕판교로 660 유스페이스1 에이동 5층,2025,20260318001638,102558831015.0,89701005500.0,61682037944.0,60587282737.0,84647291486.0,63012514521.0,57475518787.0,45590579080.0,50193485292.0,55359537463.0,주요계정
00104120,광진실업(주),026910,K,24121,1801110025882,6038108305,19761206,12,부산광역시 기장군 장안읍 오리산단로 106 -,2025,20260313000859,56888193408.0,58527388505.0,53679071672.0,92888939172.0,56364884528.0,55186453404.0,55481319013.0,50298521338.0,94008011524.0,53655431252.0,주요계정
01110678,(주)유틸렉스,263050,K,211,2850110287959,8638600031,20150227,12,"서울특별시 금천구 가산디지털1로 58 408호 (가산동, 에이스한솔타워)",2025,20260327001702,10294911483.0,9526610583.0,131654000.0,41197062388.0,6651058689.0,10664415483.0,8518852727.0,540382762.0,40756654655.0,6574550324.0,주요계정
00276083,(주)피노,033790,K,282,1101110674724,1078157410,19900209,12,경기도 안양시 동안구 부림로 17041-13,2025,20260323001684,,,,,,264760884474.0,30676302081.0,6967041262.0,163677757029.0,100801409272.0,주요계정
01309795,주식회사 아틀라스링크,297570,K,264,1101116735067,5318700960,20180426,12,경기도 성남시 분당구 황새울로258번길 31 11층,2025,20260323000695,42912841922.0,30947059461.0,26583526247.0,112469562455.0,33481142543.0,31032247340.0,30947059461.0,26583526247.0,64031299430.0,29520944349.0,주요계정
01368637,(주)성원에너텍,340930,K,29299,1358110211565,1248730932,20120405,12,경기도 안성시 원곡면 지문로 203-160 유일에너테크(주),2025,20260623000191,60014953095.0,59689568831.0,38507805865.0,175737293292.0,52737442597.0,58903809608.0,58681695175.0,38372442169.0,150667203864.0,51985982317.0,주요계정
00118521,진원생명과학(주),011000,Y,212,1101110191562,1208114898,19760127,12,서울특별시 구로구 디지털로26길 5 에이스하이엔드타워1차 1403호,2025,20260407003512,23044791670.0,35720098849.0,40202911101.0,119207169002.0,32989267207.0,19774730003.0,33040914613.0,37805693212.0,68192914603.0,30207112609.0,주요계정
00867034,(주)듀켐바이오,176750,K,21212,1101112647604,1058650172,20021106,12,"서울특별시 마포구 와우산로 81(서교동, 서봉갤러리)",2025,20260318001568,38572364091.0,35600990962.0,34695489500.0,77676184457.0,36289614851.0,38572364091.0,35600990962.0,34695489500.0,76966125662.0,36289614851.0,주요계정
00876643,(주)캐프,198080,K,26224,1101114275958,2118839044,20100202,12,경기도 화성시 마도면 청원산단1길 69 -,2025,20260311004383,295201227543.0,314860003676.0,235656834157.0,221276788854.0,281906021792.0,213477804254.0,185829250052.0,118124215943.0,213025105160.0,172477090083.0,주요계정
01010615,(주)세나테크놀로지,061090,K,26429,1101111564982,1128150103,19980713,12,서울특별시 강남구 헌릉로 569길 19,2025,20260318000032,179288201881.0,167502055387.0,153602351148.0,205702111567.0,166797536139.0,148168175776.0,141634957136.0,112108517893.0,177035246969.0,133970550268.0,주요계정
